ID,타임스탬프,화자,발화 내용(요약·인용),코드,테마,분석 메모
58,01:04:56,이동환(전문가),"행안부 앱에 ‘가까운 대피소 찾기’는 있으나 실제 가면 ‘아무것도 없다’.",C8.3 데이터화 가능 항목,T8 정보·데이터 문제,"위치 데이터와 실제 기능의 괴리."
59,01:07:07,이근희(진행),"서울 기반 활동이라 민방위 대피소(지하주차장·지하철·학교)를 가도 기능·역할 확인이 어려웠음. 데이터화 대상이 무엇인지 의문. 외국인 대상 경험도 질문.",C11.1 정적 데이터 vs 동적 현실,T11 안심이 팀 성찰,"진행자의 현장 답사 한계 인식. 핵심 질문 제기."
60,01:07:41,이동환(전문가),"강당이면 샤워·화장실 수/면적, 인원당 확보 면적 등 실내 기준 데이터화 가능.",C8.3 데이터화 가능 항목,T8 정보·데이터 문제,"실내 시설은 정량 기준 존재→데이터화 가능."
61,01:08:30,이동환(전문가),"야외 대피 시 통신 두절로 가족을 못 만남. 사전에 약속 장소가 정해져 있어야 함(동일본대지진).",C9.3 통신두절·가족상봉,T9 해외(일본) 비교,"야외 대피소의 본질 기능=상봉 거점."
62,01:10:07,이동환(전문가),"이동 시 포스트잇·테이프로 ‘몇 시까지 어디 있다’ 정보를 남겨 가족이 추적.",C9.3 통신두절·가족상봉,T9 해외(일본) 비교,"아날로그 메시지 보드가 생존 정보 인프라."
63,01:10:54,이동환(전문가),"야외 대피소는 시설물(테니스장·농구대·벤치 등), 지하주차장은 관리실·화장실·전기차 충전 등 정보가 유용.",C8.3 데이터화 가능 항목,T8 정보·데이터 문제,"공간 유형별 데이터 항목 차등 설계 시사."
64,01:11:46,이동환(전문가),"2025 산불 때 외국인이 대피소 입소를 거부당함. 한국인들이 ‘같이 못 지내겠다’고 함.",C3.4 외국인,T3 재난 취약계층 사각지대,"충격적 사례. 사회적 배제가 물리적 배제로."
65,01:12:37,이동환(전문가),"외국인 거주지는 피해지로 안 잡혀 고용주 부담. 세탁차도 기름때 이유로 거부, 코인세탁 지원으로 보완.",C3.4 외국인,T3 재난 취약계층 사각지대,"제도·서비스 양면에서 외국인 배제."
66,01:14:08,클루,"대피소는 고정이 아니라 동적(모텔 분산 등)이며, ‘공간을 사람이 채우는 방식’이 더 중요해 보임. 공간보다 사람·인프라(책임자·지원단체·기초의원) 정보 제공이 가능한지 질문.",C8.4 담당주체·연락처 데이터화 제안,T8 정보·데이터 문제,"팀의 핵심 통찰. 데이터 초점을 공간→주체로 전환 제안."
67,01:15:05,이동환(전문가),"‘행정센터 전화번호만 들어가도 큰 정보.’ 담당이 사회복지과·주민복지과·시설물관리과 등 제각각이라 시민이 헤맴.",C8.4 담당주체·연락처 데이터화 제안,T8 정보·데이터 문제,"가장 실현 가능하고 임팩트 큰 데이터화 항목."
68,01:15:05,이동환(전문가),"산불 TF는 컨테이너(임시거주시설) 공급 조사팀이라 이재민 현황은 잘 모름.",C6.4 부서 분절·소관 혼선,T6 사람·거버넌스 문제,"조직명이 기능을 보장하지 않음."
69,01:16:01,이동환(전문가),"주민복지과는 업무 과다. ‘그건 우리 과인데 그 뒤는 우리 아니에요’ 식 분절이 잦음.",C6.4 부서 분절·소관 혼선,T6 사람·거버넌스 문제,"소관 분절이 시민·활동가의 정보 접근을 가로막음."
70,01:16:46,이동환(전문가),"운동장 대피소의 담당 부서를 물으면 행정이 싫어함(시설관리공단↔주민센터 핑퐁). 그래서 특정 출처에 적어두면 큰 정보.",C8.4 담당주체·연락처 데이터화 제안,T8 정보·데이터 문제,"‘어디에도 정리돼 있지 않은’ 정보를 모으는 것이 시민데이터의 가치."
71,01:17:31,이동환(전문가),"담당 부서·담당자(유선번호)까지도 데이터화 가능(보직 변경에도 유선번호는 유지).",C8.4 담당주체·연락처 데이터화 제안,T8 정보·데이터 문제,"구체적 데이터 항목 제안. 단 행정은 거부 가능성."
72,01:18:12,이동환(전문가),"지역 사회적기업·협동조합·자활기업의 느슨한 네트워크를 ‘유사시 역할’로 사전 조직(평상시엔 월 1회 비상연락망).",C7.3 지역 네트워크·청년단체,T7 민간단체 생태계,"새 조직 신설이 아닌 기존 지역자원 활용 모델."
73,01:20:02,이동환(전문가),"주민자치예산·고향사랑기부제로 예산 마련. ‘한국은 따라하기를 잘한다’—성공 사례 1개가 확산 동력.",C7.3 지역 네트워크·청년단체,T7 민간단체 생태계,"연구·결과집이 확산 레버가 될 수 있음(안심이 산출물 연결)."
74,01:20:56,이동환(전문가),"‘한국은 시스템만 만들고 사람을 무시’해 현장이 안 돌아감. 일본은 사람이 한 일을 인정.",C6.2 매뉴얼-현장 괴리,T6 사람·거버넌스 문제,"핵심 명제 재강조. 인건비·인력 경시 비판."
75,01:21:54,이동환(전문가),"지역민이 대피소 운영에 참여하면 수요를 받을 수 있음. 단톡방으로 1시간 내 조달 가능한 구조면 바뀜.",C7.3 지역 네트워크·청년단체,T7 민간단체 생태계,"민·관 협업 운영이 수요자 중심 전환의 열쇠."
76,01:22:42,이동환(전문가),"결론: 자원봉사자가 아니라 ‘판단 내릴 수 있는 경험자’가 현장에 많아져야 하고, 민간이 사례를 만들어야 함.",C6.1 판단가능 경험자 부재,T6 사람·거버넌스 문제,"인터뷰 전체 결론 1. ‘사람’과 ‘사례’."
77,01:23:39,이동환(전문가),"자율방재단 등은 법제상 ‘범죄·안전’ 소관이라 재난은 사각지대. 말단은 봉사자 의존 구조.",C6.4 부서 분절·소관 혼선,T6 사람·거버넌스 문제,"재난 대응의 제도적 사각지대 지적."
78,01:24:34,이동환(전문가),"‘없으면 없다고 적어 달라.’ 예: ‘장애인 대피 못 함’, ‘화장실 부족’.",C8.5 결손정보 기록,T8 정보·데이터 문제,"핵심 제안. 부재·결손 자체를 데이터로 명시."
79,01:24:34,이동환(전문가),"대피소 첫날 밤 조명 문제(끄면 어둡고 켜면 못 잠)가 흔함.",C2.3 거주환경(조명 등),T2 시설·거주환경 미비,"세부 거주환경 결손. 운영 매뉴얼 보완 지점."
80,01:25:33,이동환(전문가),"고성 태풍 때 경로당 대피: 평소 안 쓰던 취약계층이 2주 체류, 기존 이용자와 갈등(‘칼부림 날 것 같아’)→민간 비용으로 모텔 분리.",C5.2 분산의 부작용,T5 대피소의 커뮤니티 기능,"지정 대피소의 사회적 부적합 사례."
81,01:28:07,이동환(전문가),"대피소를 나갔다는 이유로 식사 지원(인당 식비)이 끊김. 공무원은 매뉴얼을 보수적으로 적용할 수밖에 없는 구조.",C6.3 의사결정 경직성,T6 사람·거버넌스 문제,"매뉴얼의 경직 적용이 수요자에게 불이익."
82,01:31:25,이동환(전문가),"피스윈즈는 현장·수요자 중심. 수해 때 제습기 40대 지원(잘 안 말라서)—아름다운재단이 인정.",C10.1 피스윈즈 지원활동,T10 현장 지원 실무,"수요 기반 즉응 지원의 예시."
83,01:32:23,이동환(전문가),"‘결론은 사람.’ 1년 안에 재난 분야 전문 인력 수요가 올 것. 한 분야씩 전문가로 자리매김 권유.",C6.1 판단가능 경험자 부재,T6 사람·거버넌스 문제,"인터뷰 전체 결론 2. 안심이 팀에 전문가화 권유."
84,01:34:23,이동환(전문가),"강릉산불 때 경포대초 등 아동이 많아 ‘아동쉼터’ 운영(누구나협동조합 등 청년단체). 부모 피해조사 동안 아동 돌봄.",C10.3 우수 모델,T10 현장 지원 실무,"반려동물 돌봄과 동일 원리의 아동 돌봄 모델."
85,01:36:05,이동환(전문가),"월드비전·초록우산·세이브더칠드런 등은 재난이 본업 아님. 사회재난 시 모금함 열고 키트 제작. 큰 단체가 이슈를 흡수.",C7.2 대형단체 이슈 흡수,T7 민간단체 생태계,"소규모 현장단체의 역할 잠식. 사각지대 심화."
86,01:36:47,이동환(전문가),"모금 규모는 큼(울진 800억, 작년 2천억). ‘돈이 적은 게 아니라 어떻게 쓰느냐의 문제.’",C7.2 대형단체 이슈 흡수,T7 민간단체 생태계,"자원 총량보다 배분·집행 구조가 문제."
87,01:38:12,이동환(전문가),"국내 대피소 텐트는 포항지진(난방텐트)에서 시작. 흥해체육관은 4년 넘게 대피소 유지.",C1.3 대피소의 동적 특성,T1 대피소의 본질·유형,"대피 장기화(수년) 사례. 임시성 전제가 깨짐."
88,01:39:47,이근희(진행),"g0v summit 등에서도 공통 지적: 중간관리자 부재, 자원봉사자 흩어지면 현장 경험이 ‘증발’해 전승 안 됨.",C6.2 경험 전승 단절,T11 안심이 팀 성찰,"전문가 진단과 외부 담론의 일치 확인."
89,01:40:50,은수,"매뉴얼은 잘 돼 있다지만, 그것을 실행하는 건 사람이라 갭이 생기는 것 아닌지 의문.",C6.2 매뉴얼-현장 괴리,T11 안심이 팀 성찰,"전문가 진단을 팀이 재확인."
90,01:41:44,이근희(진행),"모든 재난이 매번 다르고 돌발·실시간이라 플랫폼·매뉴얼의 의미가 제한적일 수 있음. 데이터화 ‘범위’ 설정이 관건.",C11.2 데이터화 범위·기술 보완,T11 안심이 팀 성찰,"프로젝트 스코프 재정의. 담당주체 정보가 유력 후보."
91,01:42:50,은수,"개인정보 보틀넥은 기술적으로 풀 여지가 있고, 게시판의 디지털 버전·AI로 동적 정보를 다루는 방안도 가능할 듯.",C11.2 데이터화 범위·기술 보완,T11 안심이 팀 성찰,"개인정보·게시판 이슈를 기술 해법으로 연결."
92,01:43:54,이근희(진행),"팔찌·태그로 배식·물품 수령을 관리하는 현장 디지털 시스템을 상상했으나, 실제론 그렇지 않은 듯.",C11.1 정적 데이터 vs 동적 현실,T11 안심이 팀 성찰,"기대했던 현장 시스템과 현실의 괴리 확인."
93,01:44:48,은수,"서울 위주로 사고했으나 실제 재난은 지방이 많고 환경·특성이 매우 다양함을 간과했음.",C11.1 정적 데이터 vs 동적 현실,T11 안심이 팀 성찰,"지역 맥락 차이에 대한 자각."
94,01:45:47,달로스,"1365 등에 자원봉사 사진 기록 존재. 답사한 ‘거주 가능’ 대피소(큰 건물 지하)가 일반 대피소 검색 지도엔 안 나옴. 평소 답사 필요.",C8.3 데이터화 가능 항목,T11 안심이 팀 성찰,"공식 지도 누락 사례→시민 데이터의 보완 가치."
95,01:46:55,이근희(진행),"7월 말 활동 종료. 카드뉴스·‘우리 동네 매뉴얼’ 등 산출물 콘텐츠화 필요(예산 다수 배정).",C11.3 산출물 방향,T11 안심이 팀 성찰,"코딩 결과를 산출물로 연결하는 출구."
