테마,코드,코드 정의,주요 인용·근거
T8 정보·데이터 문제,C8.3 데이터화 가능 항목,"샤워·화장실·접근성·수용·시설물 등 데이터화 가능한 정형 항목","휠체어·장애인화장실·엘리베이터·냉방·가족단위 등"
T8 정보·데이터 문제,C8.4 담당주체·연락처 데이터화,"공간이 아닌 ‘책임주체·담당부서·연락처’를 데이터화하자는 제안","‘전화번호만 들어가도 큰 정보’ (클루 제안)"
T8 정보·데이터 문제,C8.5 결손정보 기록,"‘없는 것을 없다고’ 명시해 부재·결손 자체를 데이터화","‘장애인 대피 못 함’, ‘화장실 부족’"
T9 해외(일본) 비교,C9.1 일본 대피소 운영,"게시판·취사·민간참여·일상시설 연계 등 일본의 운영 방식","경로당·복지센터가 평상시 대피소, 취사 가능"
T9 해외(일본) 비교,C9.2 마을단위 훈련·일상 대비,"마을·회사 단위의 정기 대피훈련과 일상적 대비 문화","월 1회 지진훈련, 비상배낭 들고 모이고 해산"
T9 해외(일본) 비교,C9.3 통신두절·가족상봉,"통신 두절 상황의 약속 장소·메시지 보드 기반 가족 상봉","동일본대지진, 포스트잇·테이프로 이동정보 남김"
T10 현장 지원 실무,C10.1 피스윈즈 지원활동,"목욕권·교통권·전기·제습기 등 수요 기반 즉응 지원","택시 교통권 3만 원, 제습기 40대"
T10 현장 지원 실무,C10.2 라포 형성,"이장·공무원과 신뢰를 쌓아 활동 기반을 마련하는 과정","보조배터리·식사 지원, ‘신천지냐’ 의심 극복"
T10 현장 지원 실무,C10.3 우수 모델,"수련원 대피·아동쉼터 등 효과적이었던 운영 사례","고성 수련원 개방, 강릉 아동쉼터(청년단체)"
T11 안심이 팀 성찰,C11.1 정적 데이터 vs 동적 현실,"고정·정적 데이터 관점과 동적·맥락적 현실 사이의 인식 간극","팔찌·태그 시스템 상상 vs 현실, 서울 위주 사고 한계"
T11 안심이 팀 성찰,C11.2 데이터화 범위·기술 보완,"데이터화 스코프 재설정과 개인정보·게시판의 기술적 해법 모색","담당주체 정보 후보, 디지털 게시판·AI 활용"
T11 안심이 팀 성찰,C11.3 산출물 방향,"코딩·인터뷰 결과를 카드뉴스·동네 매뉴얼 등 산출물로 연결","7월 말 종료, 콘텐츠화 필요"
