번호,데이터 항목(후보),분류,설명·정의,데이터 유형,적용 재난유형,우선순위,현 공공데이터 보유,수집 출처·방법,수집 난이도,인터뷰 근거(타임스탬프),현장탐방 근거(2회차),현장 검증,비고
12,엘리베이터 유무·대피층수,접근성(배리어프리),엘리베이터 수와 실제 대피 공간이 위치한 층,Boolean+수치,공통,P1,없음,현장 답사,하,00:22:29 / 00:55:25,"P04: 엘리베이터 지하1층까지만 운행, 대피소는 지하3~5층 → ‘운행 층 범위’ 속성 추가 필요",검증됨(정밀화),"울진 사례: 2층, 엘리베이터 1대"
13,장애인 화장실 유무,접근성(배리어프리),장애인용 화장실 설치 여부,Boolean,공통,P1,없음,현장 답사,하,00:55:25 / 00:59:23,이번 회차 미관찰,미검증,
14,반려동물 동반 가능,접근성(배리어프리),반려동물 동반 입소 가능 여부,Boolean,공통,P1,없음,현장·지자체 확인,중,00:55:25 / 00:57:45,P12~P15: 학교·아파트 옥상 반려견 동반 불가,검증됨,5가구 이하 통상 동반. 주간돌봄(애견호텔) 필요
15,가족 단위 수용 가능,접근성(배리어프리),가족 단위(대형 텐트 등) 수용 가능 여부,Boolean,공통,P1,없음,현장 답사,중,00:55:25 / 00:55:25,이번 회차 미관찰,미검증,청송 10인용 대형 텐트 사례
16,영유아·수유 시설,접근성(배리어프리),수유실·영유아 대비 여부,Boolean,공통,P2,없음,현장 답사,하,00:56:51,P05·P06: 유아 동반 시 간식·짐 부담,부분 검증,휴게소 수유실과 대비되는 결손
17,이동지원(버스·셔틀),접근성(배리어프리),대피소~생활권 이동수단 운행 여부·횟수,텍스트,공통,P2,없음,지자체 확인,중,00:56:06 / 00:39:28,05_Sources: 휠체어·보조기기 대여 연계,부분(주변자원),행정 버스 하루 2회 등 비현실적 → 보완 필요
18,샤워시설 유무·개수,위생·생활시설,샤워 가능 여부 및 개수,Boolean+수치,공통,P1,없음,현장 답사,하,00:14:21 / 00:31:04,이번 회차 미관찰,미검증,초·중학교 강당은 대개 없음
19,화장실 개수·면적,위생·생활시설,화장실 수·면적(인원당 기준 대비),수치,공통,P1,없음,현장 답사,중,00:30:18 / 01:07:41,P06·P15: 화장실 위치 파악 어려움·도착 후 탐색,검증됨(위치안내 부재),인원당 화장실 기준 존재
20,취사시설 유무,위생·생활시설,자체 취사 가능 여부,Boolean,공통,P2,없음,현장 답사,하,01:00:16,이번 회차 미관찰,미검증,한국은 밥차 의존(일본은 취사 가능)
21,세탁시설·세탁차 접근,위생·생활시설,세탁 가능 여부/세탁차 지원 가능성,Boolean,공통,P3,없음,현장·민간단체,중,00:18:13 / 01:12:37,이번 회차 미관찰,미검증,외국인 기름때 등 거부 사례 존재
22,냉·난방 설비,위생·생활시설,냉방·난방 가능 여부,Boolean,공통,P2,없음,현장 답사,하,00:55:25,이번 회차 미관찰,미검증,
23,야간 조명·수면환경,위생·생활시설,취침 시 조명 분리·암막 가능 여부,Boolean,공통,P2,없음,현장 답사,중,01:24:34,P04: 정문 야간 시인성(입구) → 신규항목 38·40 참조,부분(입구로 분리),첫날 밤 조명 문제 흔함
24,전기·콘센트·와이파이,위생·생활시설,충전 인프라·통신 가용성,Boolean,공통,P2,부분,통신사·현장,중,00:40:28,이번 회차 미관찰,미검증,KT 등 통신사 빠르게 기지국 설치
25,침대(바닥생활 대체),위생·생활시설,라꾸라꾸 등 침대 제공 가능 여부,Boolean,공통,P3,없음,민간·지자체 비축,중,00:58:31,이번 회차 미관찰,미검증,바닥생활 어려운 고령자 다수
26,실제 거주 가능 여부,유형별 특수,잠깐 대피용 vs 숙박·거주 가능 공간 구분,범주,공통,P1,없음,현장 답사,중,01:44:48 (달로스),P05·P07: 지하주차장 ‘적당한 곳 서있기’·식수/화장실 불명 = 잠깐 대피,검증됨,지하주차장은 거주 부적합. 답사 기반 분류
27,야외 대피소 시설물,유형별 특수,운동장 등 야외 시설물(테니스장·농구대·벤치·정글짐),텍스트,지진·공통,P2,없음,현장 답사,중,01:10:54,RT-04·RT-05: 까치공원·사당역 등 경유,부분,통신 두절 시 가족 상봉 거점 기능
28,지하주차장 시설,유형별 특수,민방위 대피소 관리실·화장실·전기차 충전 등,텍스트,민방위,P2,없음,현장 답사,중,01:10:54,P04~P07: 파이프 노출·식수/화장실/관리자 불명,검증됨,
29,게시판형 정보판 유무,유형별 특수,현장 정보 공유 보드 설치 여부,Boolean,공통,P2,없음,현장 답사,하,00:41:17,"P06·P15: 안내·게시판 부재, 도착 후 안내판 탐색",검증됨,일본식 게시판(인원·지원내역) 부재 점검
30,결손정보 명시,결손정보,‘장애인 대피 불가’·‘샤워시설 없음’ 등 부재 자체를 기록,텍스트,공통,P1,없음,현장 답사,하,01:24:34,P04 사인 없음·P07 관리자/식수 모름,검증됨,★‘없으면 없다고 적어 달라’ — 시민데이터 차별점
31,비축 천막·텐트 수량,비축자원,보유 천막·텐트 동수,수치,공통,P3,부분,군청/희망브리지·적십자 창고,중,00:59:23,이번 회차 미관찰,미검증,데이터 소재가 분산되어 있음
32,재난물품 비축 현황,비축자원,은박담요·매트·침대 등 비축 수량,수치,공통,P3,부분,지자체·민간단체,중,00:58:31 / 00:59:23,이번 회차 미관찰,미검증,수량 부족 시 즉시 지원 불가
33,재난구호기금 잔액,비축자원,지자체별 재난구호기금 규모,수치,공통,P3,부분,지자체 재정공시,중,00:59:23,이번 회차 미관찰,미검증,수십억 비축되나 잘 안 씀
34,실시간 수용 인원,현황(동적·민감),현재 체류 인원,수치,공통,P3,없음,현장 운영자 입력,상,00:42:09,RT-05: 교회 포화 → 다른 대피소 이동,검증됨(혼잡정보 필요),동적·게시판 트랙. 입력 주체는 공무원
35,취약계층 현황 수,현황(동적·민감),고령·장애·와병·영유아·임산부·외국인·반려동물 수,수치,공통,P3,없음,현장 조사,상,00:44:20 / 00:42:09,이번 회차 미관찰,미검증,★개인정보 보틀넥. 재난대응 한정 동의 필요
36,지원·방문 내역,현황(동적·민감),누가 와서 무엇을 지원했는지 이력,텍스트,공통,P3,없음,현장 게시판 입력,상,00:41:17,이번 회차 미관찰,미검증,일본 게시판 모델. 중복지원 방지·조정용
37,물품 수요·재고,현황(동적·민감),현장 필요 물품과 재고 현황,텍스트,공통,P3,없음,현장 운영자 입력,상,00:43:37,이번 회차 미관찰,미검증,수요조사 미실시가 근본 장벽
38,출입구(정문/후문) 위치·접근 가능 출입구,접근 경로·안내,어느 출입구로 진입해야 하는지(정문/후문 위치·접근성),텍스트/좌표,공통,P1,없음,현장 답사·시설 확인,중,—(현장 발견),P19: 정문 몰라 후문 이동 / P04: 정문 야간 시인성 우려,신규(현장),휠체어·야간에 특히 중요
39,대피소 표지판(사인) 유무·위치,안내·표지,건물·입구에 대피소임을 알리는 표지 존재 여부,Boolean+텍스트,공통,P1,없음,현장 답사,하,—(현장 발견),P04: 사인(대피소 표식) 없음,신규(현장),‘없음’도 결손정보로 기록(항목30 연계)
40,입구·야간 외부 시인성,안내·표지,야간 도달 시 입구를 식별할 수 있는 조명·표지,범주,공통,P2,없음,현장 답사(야간),중,—(현장 발견),P04: 정문 야간 시인성 우려,신규(현장),실내 취침조명(항목23)과 구분
41,식수·급수 시설 위치,위생·생활시설,식수 제공·급수 가능 지점 위치,Boolean+텍스트,공통,P2,없음,현장 답사,중,—(현장 발견),P06: 식수 위치 파악 못 함,신규(현장),지하주차장형 대피소에서 특히 부재
42,시설 내부 안내(화장실·식수·구역 배치도),안내·표지,대피소 내부 시설 위치 안내도·사이니지,텍스트/이미지,공통,P2,없음,현장 답사,중,—(현장 발견),P06 화장실/식수 위치 모름·P15 도착 후 안내판 탐색,신규(현장),일본식 게시판(항목29) 연계
43,접근 경로 보행환경(인도 유무·턱/연석),접근 경로,대피소까지 경로의 보도 유무·턱·차도 혼재 등 보행 안전,범주,공통,P2,없음,현장 답사·로드뷰,중,—(현장 발견),P17 턱·P18 인도 없음(휠체어),신규(현장),대피소가 아닌 ‘경로’ 데이터의 필요성 부각
44,경로 침수위험 구간(저지대·침수이력),접근 경로,경로상 침수 가능·저지대 구간(시나리오 A/B 판단 근거),범주/좌표,자연재난(수해),P1,부분,서울 열린데이터(수해대피소 공간정보)·침수흔적도,중,—(현장 발견),P08 침수로 가까운 길 선택 불가·큰길 우회 / ReadMe 시나리오 A·B,신규(현장),05_Sources 침수공간정보 활용
45,대피소 입구 기준 좌표·현위치/방위 표시,정보·데이터(지도품질),"건물 중심이 아닌 실제 입구 좌표, 현재위치·방위 표시 지원",좌표,공통,P2,부분,현장 측정·지도 보정,중,—(현장 발견),P01 지도 회전 안됨·P08 현위치 미표시로 방위 혼란,신규(현장),데이터 정확도+전달 UX 과제
46,대피소 개방·운영 상태(동적),현황(동적·민감),현재 개방/운영 여부(평시 잠금 여부 포함),범주,공통,P3,없음,현장 운영자·지자체,상,—(현장 발견),P20 도착했으나 개방 여부 확인 못 함,신규(현장),인터뷰의 ‘강당 불 꺼져 있음’과 동일 맥락
47,대피소 유형의 시민 친화적 설명,안내·표지,민방위/수해/지진 등 유형별로 ‘어떤 재난에 가는 곳’인지 쉬운 설명,텍스트,공통,P2,부분,콘텐츠 제작,하,—(현장 발견),P01 민방위대피소 유형 혼란,신규(현장),산출물(카드뉴스/동네매뉴얼) 직접 연계
